"Année","Code SINOE UIOM","Nom  UIOM","Téléphone","Fax","Date d'ouverture  UIOM","Code type SINOE  UIOM","Libellé type SINOE  UIOM","Adresse UIOM","Adresse UIOM (suite)","Code postal UIOM","Commune UIOM","Code commune UIOM","Libellé de la commune UIOM","Code du département UIOM","Nom de la région UIOM","Mode de gestion  UIOM","Géolocalisation  UIOM
Longitude (Mercator)","Géolocalisation  UIOM
Latitude (Mercator)","Géolocalisation  UIOM
Indicateur qualité","Géolocalisation  UIOM
Niveau de précision","Code SINOE Exploitant","Nom Exploitant","Code type SINOE Exploitant","Libellé type SINOE Exploitant","Adresse Exploitant","Adresse exploitant (suite)","Code postal exploitant","Bureau distributeur exploitant","Téléphone exploitant","Fax exploitant","Capacité réglementaire UIOM","lat","lon"
2016,6861,"Uiom Créteil (+ Dasri)",148985511,148984883,"01/01/1978","08A","Incinération avec valorisation énergétique","10/11 Rue des Malfourches",,94034,"Créteil",94028,"Créteil",94,"Ile-de-France","Délégation de service public",273090,6238400,-1,"Centroïde de la commune",5433,"Suez Environnement - Créteil Incinération Energie (Novergie)","05","Entreprises et artisans","10/11 Rue des Malfourches",,94034,"Créteil Cedex",148985511,148984883,244500,48.778216,2.436457
2016,5907,"Uiom Ecopole d'Echillais",546831104,546997630,"01/06/1990","08A","Incinération avec valorisation énergétique","8, Route des Jamelles",,17620,"Échillais",17146,"Échillais",17,"Nouvelle-Aquitaine","Délégation de service public",-106713,5764540,-1,"Centroïde de la commune",5318,"Soccoim (setrad)","05","Entreprises et artisans","Za les Pierrelets",,45380,"Chaingy",238466565,238466580,34000,45.911243,-0.980345
2016,102329,"Uiom Flamoval",321116870,,"01/02/2013","08A","Incinération avec valorisation énergétique","365 Avenue Isaac Newton","Zac Porte Multimodale de Aa",62506,"Arques",62040,"Arques",62,"Hauts-de-France","Marché de prestation de service",257186,6575160,-1,"Centroïde de la commune",56488,"Véolia Cve Flamoval - Valnor","05","Entreprises et artisans","365 Avenue Isaac Newton","Zac Porte Multimodale de Aa",62506,"Arques",321116870,321116866,92500,50.730578,2.324055
2016,41295,"Uiom Issy-les-moulineaux - Isseane",,,"01/01/2006","08A","Incinération avec valorisation énergétique","47 à 103, Quai de Stalingrad",,92130,"Issy-les-Moulineaux",92040,"Issy-les-Moulineaux",92,"Ile-de-France","Marché de prestation de service",251825,6245060,-1,"Centroïde de la commune",31792,"Suez Environnement - Tsi (Tiru - Sita)","05","Entreprises et artisans","47 à 103, Quai Roosevelt",,92130,"Issy-les-moulineaux",140936315,,460000,48.822789,2.253007
2016,5639,"Uiom Ivry-sur-seine",145215500,145215505,"01/01/1969","08A","Incinération avec valorisation énergétique","43 Rue Bruneseau",,94200,"Ivry-sur-Seine",94041,"Ivry-sur-Seine",94,"Ile-de-France","Délégation de service public",265759,6243230,-1,"Centroïde de la commune",44531,"Ip13","05","Entreprises et artisans","19-21 Rue émile Duclaux",,92150,"Suresnes",,,730000,48.817001,2.371292
2016,6862,"Uiom Massy 1",169308518,164470339,"01/01/1987","08A","Incinération avec valorisation énergétique","ROUTE DE LA BONDE",,91300,"MASSY",91377,"Massy",91,"Ile-de-France","Délégation de service public",253507,6228540,-1,"Centroïde de la commune",57155,"Enoris (Engie Réseaux)","05","Entreprises et artisans","Route de la Bonde",,91300,"Massy",,,87000,48.719653,2.279273
2016,96411,"Uiom Montereau-fault-yonne 2",160734012,160734364,"01/04/2011","08A","Incinération avec valorisation énergétique","24 Rue de la Grande Haie - Zi",,77130,"Montereau-Fault-Yonne",77305,"Montereau-Fault-Yonne",77,"Ile-de-France","Délégation de service public",331169,6171040,0.992349,"Géolocalisation effectuée - Qualité suffisante",57159,"Sovalem","05","Entreprises et artisans","28 Boulevard de Pesaro","Cs 10049",92751,"Nanterre",,,72000,48.384787,2.973357
2016,6226,"Uiom Monthyon",,,"01/01/1998","08A","Incinération avec valorisation énergétique","Chemin de la Croix Gillet",,77122,"MONTHYON",77309,"Monthyon",77,"Ile-de-France","Délégation de service public",315354,6276500,-1,"Centroïde de la commune",2802,"Veolia Proprete - Somoval","05","Entreprises et artisans","Veolia Proprete - Somoval","26, Avenue des Champs Pierreux",92022,"NANTERRE CEDEX",155696900,155696968,135000,49.003506,2.830271
2016,52450,"Uiom Noidans le Ferroux",,,"01/01/2007","08A","Incinération avec valorisation énergétique","les Fougères",,70130,"Noidans-le-Ferroux",70387,"Noidans-le-Ferroux",70,"Bourgogne-Franche-Comté","Marché de prestation de service",662379,6035490,-1,"Centroïde de la commune",4871,"Idex et Cie","05","Entreprises et artisans","148 / 152 Route de la Reine","Cs 60049",92513,"Boulogne-billancourt Cedex",,,41000,,
2016,6839,"Uiom Rungis",149791616,149790102,"08/04/1985","08A","Incinération avec valorisation énergétique","7, Rue de Provence",,94619,"RUNGIS",94065,"Rungis",94,"Ile-de-France","Marché de prestation de service",261700,6232370,-1,"Centroïde de la commune",5487,"Veolia Proprete - Generis Rungis","05","Entreprises et artisans","1, Rue de Four","Marée 328 Bp10328",94569,"RUNGIS",149791616,149790102,150000,48.755273,2.359778
2016,6834,"Uiom Saint-ouen",149454601,149454636,"01/01/1990","08A","Incinération avec valorisation énergétique","22, rue Ardouin",,93400,"SAINT-OUEN",93070,"Saint-Ouen",93,"Ile-de-France","Marché de prestation de service",259563,6259920,-1,"Centroïde de la commune",5449,"Tiru Sa","05","Entreprises et artisans","Tour Franklin - 10é étage","Défense 8",92800,"Paris la Defense Cedex",141973800,141973801,650000,48.904046,2.324368
2016,5957,"Uiom Saint-ouen-l'aumone (+ Dasri)",,,"16/01/1996","08A","Incinération avec valorisation énergétique","2 Avenue du Fief","Parc d'Activité les Béthunes",95310,"Saint-Ouen-l'Aumône",95572,"Saint-Ouen-l'Aumône",95,"Ile-de-France","Délégation de service public",238777,6282420,0.831782,"Géolocalisation effectuée - Qualité suffisante",3192,"Veolia Proprete - Cgecp","05","Entreprises et artisans","Parc d'Activités des Béthunes - Avenue du Fief","Bp 99111 Saint Ouen l'Aumône",95310,"SAINT-OUEN-L'AUMONE",134485600,134485601,160000,49.041844,2.146939
2016,7314,"Uiom Saint-thibault-les-vignes",164124888,160071314,"01/01/1985","08A","Incinération avec valorisation énergétique","ZA La Courtillière","3, rue du Grand Pommeraye",77400,"SAINT-THIBAULT-DES-VIGNES",77438,"Saint-Thibault-des-Vignes",77,"Ile-de-France","Délégation de service public",297927,6252520,-1,"Centroïde de la commune",5492,"Suez Environnement - Novergie Ile de France","05","Entreprises et artisans","19-21 Rue Emile Duclaux",,92150,"Suresnes",140806000,140806001,155000,48.872438,2.674627
2016,6846,"Uiom Sarcelles",134190195,134191599,"01/01/1978","08A","Incinération avec valorisation énergétique","1, Rue des Tissonvilliers",,95200,"Sarcelles",95585,"Sarcelles",95,"Ile-de-France","Marché de prestation de service",265644,6273570,-1,"Centroïde de la commune",5491,"Véolia Propreté - Idex - Saren","05","Entreprises et artisans","1, Rue de Tissonvilliers",,95200,"SARCELLES",134191557,134191599,150000,48.99888,2.387358
2016,5486,"Uiom Strasbourg",388795000,388395966,"05/01/1975","08A","Incinération avec valorisation énergétique","3, Route du Rohrschollen",,67100,"Strasbourg",67482,"Strasbourg",67,"Grand-Est","Délégation de service public",862872,6202140,-1,"Centroïde de la commune",39901,"Senerval","05","Entreprises et artisans","3 Route de Rohrschallen",,67000,"Strasbourg",388795000,388395966,270000,48.511561,7.786647
2016,6919,"Uiom Thiverval Grignon",130075300,130075301,"01/01/1974","08A","Incinération avec valorisation énergétique","Route des Nourrices",,78850,"THIVERVAL-GRIGNON",78615,"Thiverval-Grignon",78,"Ile-de-France","Marché de prestation de service",216421,6247370,-1,"Centroïde de la commune",5193,"Cnim","05","Entreprises et artisans","35 Rue Bassano",,75008,"Paris 8e  Arrondissement",144311100,,243000,48.839653,1.929383
2016,22208,"Uiom Trédi Salaise Dnd et Dd",474861083,,"01/01/1985","08A","Incinération avec valorisation énergétique","Zi Portuaire de Salaise-sur-sanne","519 Rue Denis Papin",38150,"Salaise-sur-Sanne",38468,"Salaise-sur-Sanne",38,"Auvergne-Rhône-Alpes","Gestion privée",534767,5675610,-1,"Centroïde de la commune",4326,"Tredi - Salaise","05","Entreprises et artisans","519 Rue Denis Papin",,38150,"Salaise sur Sanne",474861083,474861697,294000,45.343434,4.787844
2016,13827,"Uiom Vaux-le-penil",164102870,164100011,"01/01/2003","08A","Incinération avec valorisation énergétique","ZAC du Tertre de Cherisy","BP 567",77000,"VAUX-LE-PENIL",77487,"Vaux-le-Pénil",77,"Ile-de-France","Délégation de service public",300144,6194630,-1,"Centroïde de la commune",4080,"Veolia Proprete - Generis","05","Entreprises et artisans","Zac du Tertre de Cherisy","Route de Nangis",77000,"Vaux-le-penil",164102870,164100011,137900,48.540522,2.688642
2016,105569,"Uiom Vernéa Clermont-ferrand",473143480,,"01/10/2013","08A","Incinération avec valorisation énergétique","1 Chemin des Domaines de Beaulieu",,63000,"Clermont-Ferrand",63113,"Clermont-Ferrand",63,"Auvergne-Rhône-Alpes","Délégation de service public",350022,5742740,0.99,"Géolocalisation effectuée - Qualité suffisante",56371,"Vernéa","05","Entreprises et artisans","1 Chemin des Domaines de Beaulieu",,63000,"Clermont-ferrand",473143480,,150000,45.761799,3.150493
2016,6461,"Uiom Vert-le-grand",169141615,169141647,"15/06/1999","08A","Incinération avec valorisation énergétique","Ecosite de Vert le Grand","Bp 2 Citd",91810,"Vert-le-Grand",91648,"Vert-le-Grand",91,"Ile-de-France","Délégation de service public",263170,6204270,-1,"Centroïde de la commune",17019,"Semariv","05","Entreprises et artisans","Ecosite",,91810,"VERT LE GRAND",169141600,169141647,220000,48.572081,2.357493
2016,6814,"Uiom Villejust 1",,,"01/01/1972","08A","Incinération avec valorisation énergétique","Avenue des 2 Lacs","Cd 118 - Zi de Courtaboeuf",91140,"Villejust",91666,"Villejust",91,"Ile-de-France","Marché de prestation de service",247874,6220390,-1,"Centroïde de la commune",3188,"Véolia Propreté - Generis","05","Entreprises et artisans","28, Boulevard de Pesaro - Tsa 67779",,92739,"Nanterre Cedex",155676000,155676033,110000,48.681587,2.214097
2016,5503,"Uiom d'Agen",553969777,553969700,"01/01/1983","08A","Incinération avec valorisation énergétique","Lieu dit monbusc",,47520,"Le Passage",47201,"Le Passage",47,"Nouvelle-Aquitaine","Gestion privée",66863.2,5494630,-1,"Centroïde de la commune",6005,"Sogad","05","Entreprises et artisans","Lieu Dit Monbusc",,47520,"LE PASSAGE",553969777,553969700,35000,,
2016,7112,"Uiom d'Amilly",238854490,238984444,"01/01/1992","08A","Incinération avec valorisation énergétique","215 Rue de Paucourt",,45200,"Amilly",45004,"Amilly",45,"Centre-Val de Loire","Délégation de service public",310681,6105360,-1,"Centroïde de la commune",40945,"Novergie Centre","05","Entreprises et artisans","6 Rue Gaspard Monge","Za de Conneuil",37270,"Montlouis-sur-loire",238854490,238984444,23200,48.00359,2.771436
2016,7042,"Uiom d'Ouarville",237183180,237183189,"01/02/2000","08A","Incinération avec valorisation énergétique","Za Bois Gaillard",,28150,"Ouarville",28291,"Ouarville",28,"Centre-Val de Loire","Délégation de service public",196308,6167260,-1,"Centroïde de la commune",25747,"Suez Environnement - Valoryele","05","Entreprises et artisans","Za du Bois Gaillard",,28150,"Ouarville",237183180,237183189,135000,48.343008,1.762855
2016,6970,"Uiom de Bayet Lucane",470454857,470456168,"01/04/1982","08A","Incinération avec valorisation énergétique","les Bouillots Lucane",,3500,"Bayet",3018,"Bayet",3,"Auvergne-Rhône-Alpes","Marché de prestation de service",365828,5822640,-1,"Centroïde de la commune",2852,"Lucane (Groupe Véolia Propreté)","05","Entreprises et artisans","les Bouillots",,3500,"Bayet",470454857,470456168,74100,46.26331,3.285335
2016,6526,"Uiom de Bellegarde-sur-valserine",450566730,450486777,"01/02/1998","08A","Incinération avec valorisation énergétique","Zi Arlod","5 Chemin du Tapey",1200,"Bellegarde-sur-Valserine",1033,"Bellegarde-sur-Valserine",1,"Auvergne-Rhône-Alpes","Marché de prestation de service",649308,5797570,-1,"Centroïde de la commune",5773,"Suez Rv Centre Est Energie ( Novergie Faucigny Genevois )","05","Entreprises et artisans","Zone Industrielle Arlod Chantavril",,1200,"Bellegarde-sur-valserine",450486790,450486777,120000,,
2016,5595,"Uiom de Benesse-maremne",558720394,558724757,"01/07/1972","08A","Incinération avec valorisation énergétique","Chemin du Brana",,40230,"Bénesse-Maremne",40036,"Bénesse-Maremne",40,"Nouvelle-Aquitaine","Régie",-152067,5409000,-1,"Centroïde de la commune",5,"Synd Trait Ordur Menag Côte Sud des Landes","04H","Syndicat mixte","62 Che du Bayonnais","Zone Industrielle Arriet",40230,"Benesse-maremne",558720394,558724757,83000,43.628859,-1.399909
2016,6035,"Uiom de Besancon",381419620,381515319,"11/05/1971","08A","Incinération avec valorisation énergétique","3 Rue Einstein",,25000,"Besançon",25056,"Besançon",25,"Bourgogne-Franche-Comté","Marché de prestation de service",670217,5984730,-1,"Centroïde de la commune",17061,"Snc Bival","05","Entreprises et artisans","9 rue Belin",,25000,"Besançon",381419600,381511111,59600,47.227926,5.971483
2016,6714,"Uiom de Bessieres",534260300,534260301,"18/09/2000","08A","Incinération avec valorisation énergétique","Za des Turquès Route de Montauban",,31660,"Bessières",31066,"Bessières",31,"Occitanie","Délégation de service public",176352,5433690,-1,"Centroïde de la commune",5667,"Econotre","05","Entreprises et artisans","Za des Turquès","Route de Montauban",31660,"BESSIERES",534260300,534260301,170000,43.806653,1.571351
2016,6798,"Uiom de Blois",254905454,254905450,"01/01/2000","08A","Incinération avec valorisation énergétique","161 Avenue de Châteaudun","Bp 20038",41913,"Blois",41018,"Blois",41,"Centre-Val de Loire","Délégation de service public",145162,6037450,-1,"Centroïde de la commune",5511,"Arcante","05","Entreprises et artisans","161 Avenue de Châteaudun","Bp 20038",41913,"Blois Cedex 9",254905454,254905450,90500,47.601787,1.32829
2016,6163,"Uiom de Bordeaux Begles",557351680,557351681,"08/01/1998","08A","Incinération avec valorisation énergétique","Rue louis blériot",,33323,"Bègles",33039,"Bègles",33,"Nouvelle-Aquitaine","Délégation de service public",-58983.6,5589580,-1,"Centroïde de la commune",2782,"Astria","05","Entreprises et artisans","Complexe Technique de l'Environnement","Rue Louis Bleriot",33323,"Begles Cedex",557351680,557351681,273000,44.798206,-0.5303
2016,5816,"Uiom de Bordeaux Cenon",556385500,556385501,"01/03/1985","08A","Incinération avec valorisation énergétique","Rue Jean Cocteau",,33150,"Cenon",33119,"Cenon",33,"Nouvelle-Aquitaine","Délégation de service public",-58073.4,5598750,-1,"Centroïde de la commune",5110,"Rive Droite Environnement","05","Entreprises et artisans","Rue Jean Cocteau",,33150,"Cenon",556385500,556385501,138000,44.851338,-0.506945
2016,5886,"Uiom de Bourgoin-jallieu",437032390,437032398,"01/01/1997","08A","Incinération avec valorisation énergétique","Avenue des Frères Lumière","Cs 42008",38307,"Bourgoin-Jallieu",38053,"Bourgoin-Jallieu",38,"Auvergne-Rhône-Alpes","Marché de prestation de service",585534,5715780,0.923481,"Géolocalisation effectuée - Qualité suffisante",28197,"Veolia Proprete Rhin Rhône Siège Social","05","Entreprises et artisans","105 Av 8 Mai 1945",,69140,"Rillieux la Pape",472014949,472014950,176000,45.595137,5.261681
2016,6580,"Uiom de Bourogne",384364690,384364692,"01/01/2002","08A","Incinération avec valorisation énergétique","Zone Industrielle de Bourogne - Morvillars",,90140,"Bourogne",90017,"Bourogne",90,"Bourgogne-Franche-Comté","Régie",768934,6034240,-1,"Centroïde de la commune",2368,"Sertrid - Syndicat d'Étude et de Réalisation pour le Traitement Intercommunal des Déchets","04H","Syndicat mixte","Zi de Bourogne Morvillars","Bp 10",90140,"Bourogne",384364690,384364692,85000,47.551543,6.920883
2016,6903,"Uiom de Brest",298473685,298478147,"15/12/1988","08A","Incinération avec valorisation énergétique","le Spernot",,29222,"Brest",29019,"Brest",29,"Bretagne","Gestion privée",-499746,6175140,-1,"Centroïde de la commune",25796,"Geval Ouest - Brest","05","Entreprises et artisans","179 Boulevard de l'Europe",,29222,"Brest",298473685,298478147,157680,48.412682,-4.513303
2016,5959,"Uiom de Briec de l'Odet",298577620,298575813,"17/04/1996","08A","Incinération avec valorisation énergétique","Zi de Lumunoc'H",,29510,"Briec",29020,"Briec",29,"Bretagne","Marché de prestation de service",-448347,6124210,-1,"Centroïde de la commune",25799,"Geval Ouest - Briec","05","Entreprises et artisans","Zone Artisanal  de Lumunoc'H",,29510,"Briec",298577620,298575813,60000,48.102097,-4.028217
2016,5745,"Uiom de Brive la Gaillarde",555868752,555869745,"01/10/1972","08A","Incinération avec valorisation énergétique","le Chadelbos",,19600,"Saint-Pantaléon-de-Larche",19229,"Saint-Pantaléon-de-Larche",19,"Nouvelle-Aquitaine","Marché de prestation de service",159534,5644610,-1,"Centroïde de la commune",56374,"Cnim","05","Entreprises et artisans","le Chadelbos","Chemin de la Vergne",19600,"Saint-pantaléon-de-larche",555868752,,72000,45.143338,1.456325
2016,21188,"Uiom de Calce",468643787,468643878,"01/07/2003","08A","Incinération avec valorisation énergétique","Coume Dels Tres Pilous","Route Départementale 614",66600,"Calce",66030,"Calce",66,"Occitanie","Délégation de service public",307043,5273540,-1,"Centroïde de la commune",2499,"Cydel Sa","05","Entreprises et artisans","Route Départementale 614","les Tres Pilous",66600,"Calce",468649874,468649881,240000,42.751336,2.758474
2016,6353,"Uiom de Carhaix",298937845,298937909,"01/12/1995","08A","Incinération avec valorisation énergétique","Kervoazou",,29270,"Carhaix-Plouguer",29024,"Carhaix-Plouguer",29,"Bretagne","Marché de prestation de service",-393529,6153800,0.99,"Géolocalisation effectuée - Qualité suffisante",4531,"Novergie Grand Ouest et Centre","05","Entreprises et artisans","Centre d'Affaires Alphasis - Espace Performance 3","Bât P Cs 86820, Rue de la Terre Adélie",35760,"Saint-grégoire",223212300,223212310,30000,48.281381,-3.535166
2016,7321,"Uiom de Chambery",479683500,,"01/07/1977","08A","Incinération avec valorisation énergétique","336, Rue de Chantabord",,73000,"Chambéry",73065,"Chambéry",73,"Auvergne-Rhône-Alpes","Régie",657100,5713680,-1,"Centroïde de la commune",40163,"Smix Savoie Déchets","04H","Syndicat mixte","336, Rue de Chantabord","Cs 22425 Usine d'Incinération",73024,"Chambery",479683500,479683501,120000,45.59162,5.894192
2016,6741,"Uiom de Chartres",237369827,237369570,"01/01/1999","08A","Incinération avec valorisation énergétique","la Mare Corbonne Seresville",,28300,"Mainvilliers",28229,"Mainvilliers",28,"Centre-Val de Loire","Délégation de service public",160934,6184570,-1,"Centroïde de la commune",4035,"Orisane","05","Entreprises et artisans","La Mare Corbonne","Seresville",28300,"MAINVILLIERS",237369827,237369570,110000,48.468023,1.43003
2016,6532,"Uiom de Chaumont",325016969,325016960,"01/11/1998","08A","Incinération avec valorisation énergétique","Zi la Dame Huguenotte",,52000,"Chaumont",52121,"Chaumont",52,"Grand-Est","Délégation de service public",568389,6126100,-1,"Centroïde de la commune",2936,"Shmvd - Société Haut-Marnaise de Valorisation des Déchets","05","Entreprises et artisans","Zi de la Dame Huguenotte",,52000,"Chaumont",325016969,325016960,78000,48.115368,5.104954
2016,7297,"Uiom de Chavanod",450667777,,"15/10/1984","08A","Incinération avec valorisation énergétique","le Champ de l'Ale","310 Route du Champ de l'Ale",74650,"Chavanod",74067,"Chavanod",74,"Auvergne-Rhône-Alpes","Régie",672942,5762250,-1,"Centroïde de la commune",889,"Syndicat Mixte du Lac d'Annecy","04H","Syndicat mixte","7, Rue des Terasses",,74962,"Cran-gevrier*",450667777,450667788,138000,45.878328,6.058763
2016,6906,"Uiom de Concarneau",298973609,298508207,"15/05/1989","08A","Incinération avec valorisation énergétique","Concarneau",,29189,"Concarneau",29039,"Concarneau",29,"Bretagne","Marché de prestation de service",-436034,6089860,-1,"Centroïde de la commune",2817,"Geval Ouest - Concarneau","05","Entreprises et artisans","le Poteau Vert","Rue Neuve",29900,"Concarneau",298973609,298508207,58000,47.875153,-3.919401
2016,7271,"Uiom de Dijon",380764076,380501336,"01/07/1974","08A","Incinération avec valorisation énergétique","10 Route de Langres",,21000,"Dijon",21231,"Dijon",21,"Bourgogne-Franche-Comté","Régie",560832,6001310,1,"Géolocalisation effectuée - Qualité suffisante",2179,"Dijon Métropole","04D","Communauté urbaine","40, Avenue du Drapeau",,21000,"Dijon",380503535,380501336,140000,47.368825,5.047884
2016,6586,"Uiom de Fort-de-france",596427580,596427582,"01/04/2002","08A","Incinération avec valorisation énergétique","Morne Dillon Sud",,97200,"Fort-de-France",97209,"Fort-de-France",972,"Dom-Com","Marché de prestation de service",-6798580,1649080,-1,"Centroïde de la commune",9671,"La Martiniquaise de Valorisation","05C","Industrie","Morne Dillon Sud",,97200,"FORT-DE-FRANCE",596427580,596427582,115000,14.615801,-61.048355
2016,6556,"Uiom de Fourchambault",386907940,386907949,"01/05/2002","08A","Incinération avec valorisation énergétique","38 Route de Vauzelles",,58600,"Fourchambault",58117,"Fourchambault",58,"Bourgogne-Franche-Comté","Délégation de service public",344015,5945730,-1,"Centroïde de la commune",6135,"Sonirval - Véolia Propreté","05","Entreprises et artisans","38 Route Vauzelles",,58600,"FOURCHAMBAULT",386907940,386907949,46000,47.021412,3.092599
2016,7120,"Uiom de Gien",238298140,238383820,"01/01/1999","08A","Incinération avec valorisation énergétique","les Gâtines",,45500,"Gien",45155,"Gien",45,"Centre-Val de Loire","Marché de prestation de service",291767,6055120,-1,"Centroïde de la commune",6113,"Cideme - Groupe Tiru","05","Entreprises et artisans","les Gâtines",,45500,"Arrabloy",238298140,238383820,80000,47.685515,2.672178
2016,9184,"Uiom de Guichainville",232237190,232230267,"01/04/2003","08A","Incinération avec valorisation énergétique","Vc6 Lieu Dit Saint Laurent",,27930,"Guichainville",27306,"Guichainville",27,"Normandie","Marché de prestation de service",132999,6272320,-1,"Centroïde de la commune",4531,"Novergie Grand Ouest et Centre","05","Entreprises et artisans","Centre d'Affaires Alphasis - Espace Performance 3","Bât P Cs 86820, Rue de la Terre Adélie",35760,"Saint-grégoire",223212300,223212310,100000,48.981331,1.189049
2016,5553,"Uiom de Haguenau",388720497,388720494,"01/06/1990","08A","Incinération avec valorisation énergétique","4 Rue du Clausenhof","Bp 90317",67507,"Haguenau",67180,"Haguenau",67,"Grand-Est","Délégation de service public",870294,6247590,-1,"Centroïde de la commune",4767,"Suez Rv Energie (novergie Est)","05","Entreprises et artisans","17 Rue de Copenhague","Cs 30041",67012,"Schiltigheim",329788433,329781871,87600,48.804813,7.77882
